IATACode,ICAOCode,Model,Aircraft_Manufacturer,WingType,Type,Manufacturer
N/A,CH7A,"7AC Champ, 7ECA Citabria",Champion Aircraft Corporation,Fixed Wing,Airplane,Champion Aircraft Corporation
345,A345,Airbus A340-500,Airbus,Fixed Wing,Airplane,Airbus
N/A,AP22,Aeroprakt A-22 Foxbat / A-22 Valor / A-22 Vision,Aeroprakt,Fixed Wing,Airplane,Aeroprakt
NDC,S601,Aerospatiale SN.601 Corvette,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
N/A,BE58,Beechcraft Baron / 58 Baron,Beechcraft,Fixed Wing,Airplane,Beechcraft
359,A359,Airbus A350-900,Airbus,Fixed Wing,Airplane,Airbus
141,B461,BAe 146-100,(undefined),Fixed Wing,Airplane,British Aerospace
722,B722,Boeing 727-200,Boeing,Fixed Wing,Airplane,Boeing
74B,BLCF,Boeing 747 LCF Dreamlifter,Boeing,Fixed Wing,Airplane,Boeing
AB4,A30B,"Airbus A300B2, A300B4, and A300C4",Airbus,Fixed Wing,Airplane,Airbus
744,B744,Boeing 747-400,Boeing,Fixed Wing,Airplane,Boeing
7M9,B39M,Boeing 737 MAX 9,Boeing,Fixed Wing,Airplane,Boeing
A30,AN30,Antonov AN-30,Antonov,Fixed Wing,Airplane,Antonov
32B,A321,Airbus A321 (sharklets),Airbus,Fixed Wing,Airplane,Airbus
7M8,B38M,Boeing 737 MAX 8,Boeing,Fixed Wing,Airplane,Boeing
74T,B741,Boeing 747-100 Freighter,Boeing,Fixed Wing,Airplane,Boeing
318,A318,Airbus A318,Airbus,Fixed Wing,Airplane,Airbus
717,B712,Boeing 717,Boeing,Fixed Wing,Airplane,Boeing
31N,A19N,Airbus A319neo,Airbus,Fixed Wing,Airplane,Airbus
733,B733,Boeing 737-300,Boeing,Fixed Wing,Airplane,Boeing
221,BCS1,Airbus A220-100,Airbus,Fixed Wing,Airplane,Airbus
732,B732,Boeing 737-200,Boeing,Fixed Wing,Airplane,Boeing
N/A,BE55,Beechcraft Baron / 55 Baron,Beechcraft,Fixed Wing,Airplane,Beechcraft
741,B741,Boeing 747-100,Boeing,Fixed Wing,Airplane,Boeing
73G,B737,Boeing 737-700,Boeing,Fixed Wing,Airplane,Boeing
A40,A140,Antonov AN-140,Antonov,Fixed Wing,Airplane,Antonov
ANF,AN12,Antonov AN-12,Antonov,Fixed Wing,Airplane,Antonov
A28,AN28,Antonov AN-28,Antonov,Fixed Wing,Airplane,Antonov
ATR,AT75,Aerospatiale/Alenia ATR 72-500,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
(undefined),EA32,Airbus A320 (deprecated 1997: code replaced),Airbus,Fixed Wing,Airplane,Airbus
74C,B742,Boeing 747-200M,Boeing,Fixed Wing,Airplane,Boeing
7M7,B37M,Boeing 737 MAX 7,Boeing,Fixed Wing,Airplane,Boeing
32Q,A21N,Airbus A321neo,Airbus,Fixed Wing,Airplane,Airbus
